Rank,Cover Art,Artist Name,Album,Best Song,Genre,Release Date,Mini-Review,Personal Anecdotes
1,,Dev Lemons,SURFACE TENSION,NICE TRY,"hyperpop,bedroom pop",2025-08-01,,
1,,Neil Young,Oceanside Countryside,Sail Away,"classic rock,folk rock,singer-songwriter,roots rock",2025-03-07,,
1,,Empty Heaven,Now I'm Laughing Again,Nonplussed,spoken word,2025-03-14,,
1,,Gabi Hartmann,La femme aux yeux de sel,Drink the Ocean (feat. Oracle Sisters),"french jazz,vocal jazz",2025-03-21,,
1,,SYML,Nobody Lives Here,Heavy Hearts,,2025-04-04,,
1,,Penny and Sparrow,Lefty,Mattering Ram,,2025-01-31,,
1,,Clipse;John Legend;Voices of Fire;Pusha T;Malice,Let God Sort Em Out,Chains & Whips,"southern hip hop,soft pop,neo soul",2025-07-11,,
1,,Mallrat,Light hit my face like a straight right,Pavement,,2025-02-14,,
1,,Career Woman,Lighthouse,Piano Song,,2025-06-06,,
1,,Ball Park Music,Like Love,Please Don't Move To Melbourne,,2025-04-04,,
1,,Gordi,Like Plasticine,Peripheral Lover,,2025-08-08,,
1,,Joey Bada$$,Lonely At The Top,HIGHROLLER (feat. A$AP Ferg & Kelz2busy),"hip hop,rap",2025-08-29,,
1,,Charles Wesley Godwin,Lonely Mountain Town,Lonely Mountain Town,"red dirt,country",2025-02-28,,
1,,Ian M Bailey,Lost In A Sound,Deep Blue Water,"power pop,jangle pop",2025-03-14,,
1,,Little Simz,Lotus,Free,,2025-06-06,,
1,,kendall lujan,Lucky Penny,How Ya Doin',,2025-02-21,,
1,,Courting,"Lust for Life, Or: 'How To Thread The Needle And Come Out The Other Side To Tell The Story'",After You,post-punk,2025-03-14,,
1,,KALEO,MIXED EMOTIONS,Bloodline,,2025-05-09,,
1,,The Lathums,Matter Does Not Define,Heartbreaker,,2025-02-28,,
1,,Eem Triplin,Melody Of A Memory,MISS ME?,,2025-02-17,,
1,,Michigander,Michigander,I'll Be OK,,2025-02-07,,
