Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,liked,playlist_origin,Primary Artist,Record Label_encoded,is_unknown_genre,Genres_encoded
Wave Therapy,Lahai,Sampha,2023-10-20,32249,32,"electronic, soul, UK Garage, singer-songwriter",Young,0.214,0.268,5.0,-17.567,1.0,0.0386,0.451,0.245,0.221,0.175,82.507,50.0,df_fav_albums,Sampha,43.2619559518828,0,65.05637561628556
Ideal Day,Friends and Family,Steven van Betten,2023-10-27,95118,3,indie folk,Future Gods,0.648,0.661,3.0,-6.385,1.0,0.0447,0.551,0.036,0.0786,0.573,93.079,50.0,df_fav_albums,Steven van Betten,55.71734508847621,0,75.28532969787886
We All Need Love From Someone Else,Friends and Family,Steven van Betten,2023-10-27,118622,2,indie folk,Future Gods,0.566,0.129,5.0,-15.356,1.0,0.381,0.861,0.0,0.111,0.548,165.53,50.0,df_fav_albums,Steven van Betten,55.71734508847621,0,75.28532969787886
Lay It Down,Strike The Ground,"Travis Greene,Forward City",2023-10-13,360106,22,"gospel,worship","Tribl Records, LLC",0.659,0.682,2.0,-8.093,1.0,0.0415,0.0134,0.0,0.641,0.307,120.008,50.0,df_fav_albums,Travis Greene,56.237103732883135,0,62.81227766877739
Black Eye,"Light, Dark, Light Again",Angie McMahon,2023-10-27,223431,37,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.579,0.284,0.0,-9.476,1.0,0.0319,0.83,0.000842,0.0901,0.212,107.836,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
Out of Luck,Sweet Justice,"Tkay Maidza,Lolo Zouaï,Amber Mark",2023-11-03,230986,32,alternative r&b,4AD,0.767,0.764,5.0,-4.601,0.0,0.252,0.0786,0.0,0.535,0.848,101.845,50.0,df_fav_albums,Tkay Maidza,47.76583058659592,0,57.67690233409156
WUACV,Sweet Justice,Tkay Maidza,2023-11-03,137640,22,alternative r&b,4AD,0.829,0.699,2.0,-6.771,1.0,0.0379,0.0482,0.0,0.155,0.233,121.993,50.0,df_fav_albums,Tkay Maidza,47.76583058659592,0,57.67690233409156
Love and Other Drugs,Sweet Justice,Tkay Maidza,2023-11-03,181706,22,alternative r&b,4AD,0.723,0.56,0.0,-6.054,0.0,0.0439,0.0798,0.0119,0.334,0.26,126.971,50.0,df_fav_albums,Tkay Maidza,47.76583058659592,0,57.67690233409156
Making It Through,"Light, Dark, Light Again",Angie McMahon,2023-10-27,282366,45,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.617,0.38,5.0,-9.809,1.0,0.0486,0.67,0.000582,0.0697,0.315,172.024,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
Music's Coming In,"Light, Dark, Light Again",Angie McMahon,2023-10-27,247430,34,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.255,0.291,0.0,-10.315,1.0,0.0279,0.893,0.000198,0.123,0.129,147.577,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
Staying Down Low,"Light, Dark, Light Again",Angie McMahon,2023-10-27,277694,36,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.477,0.359,11.0,-10.629,1.0,0.0393,0.829,6.04e-05,0.107,0.153,94.389,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
Serotonin,"Light, Dark, Light Again",Angie McMahon,2023-10-27,259618,50,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.741,0.552,9.0,-10.623,1.0,0.0629,0.883,0.0197,0.11,0.36,116.97,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
I Am Already Enough,"Light, Dark, Light Again",Angie McMahon,2023-10-27,178933,35,"folk, indie, singer-songwriter, australian, indie folk",Gracie Music,0.408,0.872,7.0,-5.768,1.0,0.0692,0.0795,0.35,0.106,0.176,122.97,50.0,df_fav_albums,Angie McMahon,58.139838353192566,0,70.28971752401394
