Artist Name,Album,Best Song,Genre,Release Date,Scrobble Score,Total Scrobbles,Avg Per Track,Obsession Score,Prediction Score,Similar Artists,Album Length,Discovery Method,Album Art URL,manual_boost,manual_notes,final_rank_override
Ruston Kelly,Dirt Emo Vol. 2,Only One,"americana,alt country",2025-03-14,0.0,0,0.0,0.0,0.0,,19.689166666666665,Spotify,,,,
Oracle Sisters,Divinations,Marseille,,2025-02-14,0.0,0,0.0,0.0,0.0,,43.2126,Spotify,,,,
Billie Marten,Dog Eared,Feeling,,2025-07-18,0.0,0,0.0,0.0,0.0,,37.40408333333333,Spotify,,,,
Ava Max,Don't Click Play,Don’t Click Play,,2025-08-22,0.0,0,0.0,0.0,0.0,,34.80266666666667,Spotify,,,,
AJ Tracey,Don't Die Before You're Dead,Joga Bonito,"grime,uk grime,uk drill,drill",2025-06-13,0.0,0,0.0,0.0,0.0,,39.35906666666666,Spotify,,,,
Big Thief,Double Infinity,Words,,2025-09-05,0.0,0,0.0,0.0,0.0,,42.8979,Spotify,,,,
SASAMI,Blood On the Silver Screen,Slugger,,2025-03-07,0.0,0,0.0,0.0,0.0,,41.13525,Spotify,,,,
Aesop Rock,Black Hole Superette,Secret Knock,"underground hip hop,experimental hip hop,alternative hip hop",2025-05-30,0.0,0,0.0,0.0,0.0,,68.32011666666666,Spotify,,,,
IDER,Late to the World,You Don't Know How to Drive,,2025-02-21,0.0,0,0.0,0.0,0.0,,41.47906666666667,Spotify,,,,
Deep Sea Diver,Billboard Heart,What Do I Know,,2025-02-28,0.0,0,0.0,0.0,0.0,,45.6244,Spotify,,,,
Slow Joy,A Joy So Slow At Times I Don't Think It's Coming,Gruesome,"shoegaze,midwest emo",2025-05-16,0.0,0,0.0,0.0,0.0,,31.754816666666667,Spotify,,,,
Laufey,A Matter of Time,Lover Girl,,2025-08-22,0.0,0,0.0,0.0,0.0,,45.55105,Spotify,,,,
Matt Maeson,A Quiet and Harmless Living,Cursive (feat. Manchester Orchestra),,2025-09-12,0.0,0,0.0,0.0,0.0,,37.83505,Spotify,,,,
Runnner,A Welcome Kind of Weakness,Claritin,,2025-08-29,0.0,0,0.0,0.0,0.0,,37.74926666666666,Spotify,,,,
Cardi B;Summer Walker,AM I THE DRAMA?,Safe (feat. Kehlani),r&b,2025-09-19,0.0,0,0.0,0.0,0.0,,71.014,Spotify,,,,
Ric Wilson,AMERICA RUNS ON DISCO,They Can't Get Next to You,,2025-06-20,0.0,0,0.0,0.0,0.0,,19.413083333333333,Spotify,,,,
Σtella,Adagio,Adagio,,2025-04-04,0.0,0,0.0,0.0,0.0,,26.56253333333333,Spotify,,,,
Alan Sparhawk;Trampled by Turtles,Alan Sparhawk with Trampled by Turtles,Stranger,"bluegrass,newgrass,americana,folk,alt country",2025-05-30,0.0,0,0.0,0.0,0.0,,32.0527,Spotify,,,,
David Ramirez,All The Not So Gentle Reminders,Waiting On The Dust To Settle,americana,2025-03-21,0.0,0,0.0,0.0,0.0,,50.72436666666667,Spotify,,,,
LISA;Doja Cat;RAYE,Alter Ego,Born Again (feat. Doja Cat & RAYE),k-pop,2025-02-28,0.0,0,0.0,0.0,0.0,,42.74393333333333,Spotify,,,,
Craig Finn,Always Been,Luke & Leanna,,2025-04-04,0.0,0,0.0,0.0,0.0,,49.73283333333333,Spotify,,,,
SG Lewis,Anemoia,Baby Blue (feat. Oliver Sim),,2025-09-05,0.0,0,0.0,0.0,0.0,,40.98015,Spotify,,,,
Denison Witmer;Sufjan Stevens,Anything At All,Shade I'll Never See,baroque pop,2025-02-14,0.0,0,0.0,0.0,0.0,,34.69193333333333,Spotify,,,,
Common Holly,Anything glass,Terrible hands,indie québécois,2025-06-13,0.0,0,0.0,0.0,0.0,,32.2576,Spotify,,,,
The Head And The Heart,Aperture,After The Setting Sun,"indie folk,folk pop,folk",2025-05-09,0.0,0,0.0,0.0,0.0,,45.25905,Spotify,,,,
Sunny War,Armageddon In A Summer Dress,Cry Baby - feat. Valerie June,"folk punk,americana",2025-02-21,0.0,0,0.0,0.0,0.0,,37.86666666666667,Spotify,,,,
Gigi Perez,"At The Beach, In Every Life",Sailor Song,,2025-04-25,0.0,0,0.0,0.0,0.0,,93.56353333333334,Spotify,,,,
Far Caspian,Autofiction,A Drawing Of The Sun,"lo-fi indie,dream pop",2025-07-25,0.0,0,0.0,0.0,0.0,,43.06921666666667,Spotify,,,,
Blasé,BLABLABLA,Different Mind,,2025-03-14,0.0,0,0.0,0.0,0.0,,43.30925,Spotify,,,,
Fruit Bats,Baby Man,Baby Man,,2025-09-12,0.0,0,0.0,0.0,0.0,,29.0604,Spotify,,,,
JR JR,Back to the Land,Sunburn,,2025-05-30,0.0,0,0.0,0.0,0.0,,34.469683333333336,Spotify,,,,
